"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"230.09025 Da 64.62 s",1.08,231.09753,,"C9H14N2O5",1238.0,1350.0,0.0,1302.0,1090.0,0.0
"514.16609 Da 64.81 s",1.08,515.17337,,"C17H14N20O",0.0,1904.0,2006.0,1516.0,0.0,0.0
"129.04240 Da 67.33 s",1.12,130.04968,,"C5H7NO3",782.0,1014.0,616.0,1260.0,616.0,0.0
"185.09832 Da 64.82 s",1.08,186.10559,,,1050.0,830.0,1100.0,608.0,0.0,332.0
"175.08409 Da 65.69 s",1.09,176.09137,,"C7H13NO4",3152.0,3388.0,1698.0,5472.0,5502.0,1920.0
"89.04741 Da 66.50 s",1.11,90.05469,,"C3H7NO2",972.0,1312.0,1718.0,1912.0,1554.0,320.0
"214.13161 Da 67.00 s",1.12,215.13889,,"C10H18N2O3",1598.0,2462.0,2204.0,1828.0,872.0,632.0
"162.05311 Da 66.89 s",1.11,163.06038,,"C6H10O5",1244.0,1032.0,1032.0,848.0,552.0,402.0
"324.10409 Da 67.10 s",1.12,325.11136,,"C17H24S3",1094.0,1064.0,420.0,300.0,148.0,0.0
"193.10986 Da 65.28 s",1.09,194.11713,,"C11H15NO2",948.0,754.0,1100.0,830.0,904.0,700.0
"214.09352 Da 66.73 s",1.11,215.10079,,,0.0,1206.0,1026.0,1012.0,230.0,174.0
"115.06290 Da 66.50 s",1.11,116.07017,,,0.0,1040.0,674.0,1038.0,968.0,420.0
"143.05805 Da 66.25 s",1.10,144.06533,,"C6H9NO3",1094.0,1338.0,694.0,2456.0,2986.0,916.0
"294.08904 Da 66.44 s",1.11,295.09632,,"C12H15N4O3P",2432.0,1846.0,1512.0,1658.0,1126.0,456.0
"248.10017 Da 64.92 s",1.08,249.10745,,"C9H16N2O6",1836.0,2062.0,2194.0,2132.0,1798.0,548.0
"256.24034 Da 66.17 s",1.10,257.24761,"Palmitic acid","C16H32O2",0.0,1156.0,1194.0,1496.0,942.0,1148.0
"211.07027 Da 67.07 s",1.12,212.07755,,,1906.0,3730.0,2398.0,2098.0,1108.0,0.0
"267.07948 Da 66.63 s",1.11,268.08676,,"C18H9N3",0.0,0.0,1912.0,0.0,1104.0,0.0
"392.09374 Da 67.18 s",1.12,393.10101,,"C12H20N6O5S2",1976.0,1852.0,2168.0,2020.0,1418.0,930.0
"352.10109 Da 68.32 s",1.14,353.10837,,"C16H21N2O3PS",1396.0,0.0,860.0,878.0,310.0,0.0
"188.94867 Da 66.35 s",1.11,189.95595,,"C4H3N3S3",1076.0,1302.0,1006.0,998.0,1570.0,566.0
"154.11032 Da 68.23 s",1.14,155.11759,,"C8H14N2O",2984.0,3106.0,2326.0,3086.0,1934.0,1272.0
"84.02070 Da 66.95 s",1.12,85.02798,,,1012.0,1142.0,1016.0,860.0,520.0,290.0
